x, y, angle, velocity, spin, velocity_action, spin_action, is_episode_start
-89.1154290305824, 46.25586261869134, 2.901144599822343, 0, 0, 0.5, 0.0, 1
-89.1154290305824, 46.25586261869134, 2.901144599822343, 1.9748849044364452, 0.36466268710757244, 0.5, 0.0, 0
-89.23051324131227, 46.284080305156735, 2.9230243610487974, 2.0319011506375197, 0.37075658333631245, 0.5, 0.0, 0
-89.34952683932502, 46.31051520098636, 2.945269756048976, 1.9601243441239617, 0.5070113449765402, 0.5, 0.0, 0
-89.46487511685882, 46.333456205103964, 2.9756904367475685, 2.024635724217829, 0.3729033784384492, 0.5, 0.0, 0
-89.58468533657275, 46.35351737627881, 2.9980646394538755, 2.0097710884141113, 0.6585209965598326, 0.5, 0.0, 0
-89.70403167657193, 46.3707655213666, 3.0375758992474653, 2.0209248159991255, 0.6254580412394182, 0.5, 0.0, 0
-89.8246317957655, 46.383355392430815, 3.0751033817218305, 1.9923061229142989, 0.4652192091408189, 0.5, 0.0, 0
-89.9439060314702, 46.39129755660093, 3.10301653427028, 1.9809900429295122, 0.35902953936422666, 0.5, 0.0, 0
-90.06267700666494, 46.3958815539788, 3.1245583066321334, 1.942216267346239, 0.534638374856634, 0.5, 0.0, 0
-90.17919307598736, 46.39786652112546, 3.1566366091235314, 1.9649152907826313, 0.5723685851729382, 0.5, 0.0, 0
-90.2970746526618, 46.39609298212957, 3.190978724233908, 1.9913684031431336, 0.6237003244809834, 0.5, 0.0, 0
-90.4164110789942, 46.390194628838685, 3.2284007437027666, 2.0364144909856092, 0.6825692035549475, 0.5, 0.0, 0
-90.53813586660968, 46.379601309967235, 3.2693548959160634, 1.994268779322189, 0.3628277231637331, 0.5, 0.0, 0
-90.65681673618188, 46.364355331198, 3.2911245593058873, 2.0091024396265564, 0.66036249621855, 0.5, 0.0, 0
-90.77601769855794, 46.34639693552607, 3.330746309079, 1.9815771403390965, 0.46938152713332404, 0.5, 0.0, 0
-90.89279168946183, 46.32404145039177, 3.3589092007069996, 2.047454672727147, 0.38581334683178936, 0.5, 0.0, 0
-91.01274954575595, 46.29755434020474, 3.382058001516907, 1.988745842793763, 0.6106429367133274, 0.5, 0.0, 0
-91.1286409957344, 46.26913660067607, 3.4186965777197065, 2.0583082035410967, 0.7372023065398834, 0.5, 0.0, 0
-91.24742823706202, 46.23535096946213, 3.4629287161120996, 1.9458724018885492, 0.49749642110096726, 0.5, 0.0, 0
-91.35820452959358, 46.198476549210184, 3.4927785013781576, 1.9683585417578295, 0.6264434055688677, 0.5, 0.0, 0
-91.46909776681262, 46.15784826847916, 3.53036510571229, 1.910358042105392, 0.5594087703282333, 0.5, 0.0, 0
-91.5751656283534, 46.114400679309, 3.563929631931984, 2.0159648896767273, 0.4679528389464377, 0.5, 0.0, 0
-91.6854953774665, 46.06482086051428, 3.59200680226877, 2.0472420839652905, 0.4812508772277793, 0.5, 0.0, 0
-91.79607923266022, 46.01134627298167, 3.620881854902437, 2.0223410319364286, 0.33637164242686174, 0.5, 0.0, 0
-91.90374740694178, 45.955390290773245, 3.6410641534480486, 2.0643860083573755, 0.3787034839034454, 0.5, 0.0, 0
-92.01247892548612, 45.896064584671706, 3.6637863624822553, 2.0035961192701888, 0.5544212902269731, 0.5, 0.0, 0
-92.1166731865695, 45.83610304174422, 3.6970516398958737, 1.999434806660405, 0.5344219251880029, 0.5, 0.0, 0
-92.2186033922098, 45.77284092397985, 3.7291169554071537, 1.9691738232788025, 0.6620734644138171, 0.5, 0.0, 0
-92.31694182748986, 45.70734988556006, 3.768841363271983, 1.9800518038731356, 0.6515298501879971, 0.5, 0.0, 0
-92.41313021238606, 45.637622035050136, 3.807933154283263, 1.9903711549534715, 0.44830001210565107, 0.5, 0.0, 0
-92.50700673390662, 45.56380552530268, 3.834831155009602, 2.081251390384982, 0.44874828948880785, 0.5, 0.0, 0
-92.60305821896351, 45.48400641078195, 3.8617560523789303, 2.051538907338183, 0.25987662773768017, 0.5, 0.0, 0
-92.69558647767855, 45.40282609212575, 3.8773486500431913, 2.0563667072698992, 0.5245338043779579, 0.5, 0.0, 0
-92.78705246542592, 45.32001853443587, 3.9088206783058688, 2.0041738309670576, 0.431915593362964, 0.5, 0.0, 0
-92.87361324368766, 45.23654759609347, 3.934735613907647, 2.0573147148173274, 0.7467492831494031, 0.5, 0.0, 0
-92.96021910336492, 45.148589748925325, 3.979540570896611, 1.9965980829528944, 0.5694551353414097, 0.5, 0.0, 0
-93.04036129120068, 45.05954883817998, 4.013707879017096, 2.0490555315423844, 0.5384382524548401, 0.5, 0.0, 0
