% # columns="iteration, evaluation, void, void, void, xmean", seed=782695, Mon Feb  6 16:02:28 2023, <python>{}</python> # scaling_of_variables: 1, typical_x: 0
1 6 0 0 0 0.22450138939009423 1.0009899545247989
2 12 0 0 0 -0.22673205901415283 1.645657722593656
3 18 0 0 0 -0.2340043680013006 0.9449609258036327
4 24 0 0 0 -1.5183102282139376 1.3494920078078207
5 30 0 0 0 -3.855811128940578 1.8679477607368948
6 36 0 0 0 -5.175237083100333 0.31452256912115817
7 42 0 0 0 -2.4849239362196416 -2.6250350318459184
8 48 0 0 0 -5.648225811651571 1.0348310708441106
9 54 0 0 0 -1.8260677060901251 -1.9215398675751372
10 60 0 0 0 -0.9459236397491633 -3.9296082167553905
11 66 0 0 0 1.7002108327580692 -6.27013651726707
12 72 0 0 0 1.0060662325339396 -5.552048697012842
13 78 0 0 0 -1.4810237791662593 -3.573354442635053
14 84 0 0 0 -2.059860308070603 -2.9221982701304046
15 90 0 0 0 -0.7277464189255842 -3.94037329118843
16 96 0 0 0 0.32465272824581515 -4.751793111622869
17 102 0 0 0 -0.08994978659817054 -4.5682423949604445
18 108 0 0 0 -0.4067959203085134 -4.470038607878847
19 114 0 0 0 0.7615271295611961 -5.761291107501105
20 120 0 0 0 -0.08312119019573883 -4.8957371214867536
21 126 0 0 0 0.34539689654161765 -5.317643352516466
22 132 0 0 0 0.49026401850727686 -5.492352525014297
23 138 0 0 0 0.4470712104711728 -5.443501608162195
24 144 0 0 0 0.33780738608857536 -5.342455315489616
25 150 0 0 0 -0.007750348432130683 -4.996523811675421
26 156 0 0 0 -0.14198593664203646 -4.851822348054162
27 162 0 0 0 0.05314597190856077 -5.048592863697708
28 168 0 0 0 -0.044805974850237004 -4.952759940731298
29 174 0 0 0 0.06866976275652897 -5.074951286139598
30 180 0 0 0 -0.06405989997628436 -4.94362468749446
31 186 0 0 0 0.0936227921711249 -5.09382734746106
32 192 0 0 0 0.08535882927232138 -5.086057776552279
33 198 0 0 0 -0.09488593295802308 -4.9008275085689705
34 204 0 0 0 -0.07679950631596265 -4.923989495855985
35 210 0 0 0 0.22195389263512488 -5.222176584870748
36 216 0 0 0 0.2720003818459924 -5.270592110312156
37 222 0 0 0 0.38392469473767976 -5.381597358938412
38 228 0 0 0 0.19842219575294728 -5.198130081190474
39 234 0 0 0 0.35815435382724525 -5.358438014000874
40 240 0 0 0 0.30771725517753196 -5.30840741335751
41 246 0 0 0 0.37619510102891407 -5.376101585853005
42 252 0 0 0 0.48146394225976685 -5.481342786815123
43 258 0 0 0 0.4454458459511919 -5.445986599928027
44 264 0 0 0 0.32765109320694874 -5.327611114473237
45 270 0 0 0 0.43933886709823505 -5.439216286743705
46 276 0 0 0 0.48747717592870937 -5.487641309773488
47 282 0 0 0 0.48433009041982156 -5.484533419942047
48 288 0 0 0 0.45745600871518044 -5.457460590458225
49 294 0 0 0 0.3565380885384766 -5.356585130877984
50 300 0 0 0 0.35666445021694576 -5.356651731362644
51 306 0 0 0 0.4373984604636607 -5.437374450352163
52 312 0 0 0 0.41062680510524935 -5.410628503163911
53 318 0 0 0 0.43233789931464206 -5.43233242311712
54 324 0 0 0 0.3868503903110141 -5.38684734039818
55 330 0 0 0 0.38552846264815743 -5.385531483427082
56 336 0 0 0 0.3711193407957714 -5.371120492781494
57 342 0 0 0 0.38071882644347116 -5.3807200015564165
58 348 0 0 0 0.38542645278940885 -5.3854240905056825
59 354 0 0 0 0.3854226575780204 -5.385423218295825
60 360 0 0 0 0.3876860343613563 -5.387687233902979
61 366 0 0 0 0.3852290378638289 -5.385229015059469
62 372 0 0 0 0.3888463606390284 -5.3888457727561105
63 378 0 0 0 0.39069120806627317 -5.390691196980781
64 384 0 0 0 0.39236958871251937 -5.392369624782474
65 390 0 0 0 0.3897787541167424 -5.389778302946417
66 396 0 0 0 0.3939040607713009 -5.393903815898069
67 402 0 0 0 0.3938265077723443 -5.393826491583646
68 408 0 0 0 0.3927108677597478 -5.392710908747972
69 414 0 0 0 0.39286622427601997 -5.392866313497625
70 420 0 0 0 0.3947479962119313 -5.3947480269998245
71 426 0 0 0 0.3944550410913824 -5.394455047812194
72 432 0 0 0 0.39412016869626565 -5.394120168865326
73 438 0 0 0 0.39471929908461045 -5.3947192847269445
74 444 0 0 0 0.39461017677922594 -5.3946101668159985
75 450 0 0 0 0.39516665864952977 -5.395166651963608
